# Multiple-choice questions
type,difficulty,question,answers,correctIndex,correctAnswerText
choice,easy,Vad kallas det när man vinner ett tennisset med 6-0?,Bagel | Donut | Noll | Shutout,0,Bagel
choice,hard,Vem var den första spelaren att vinna alla fyra Grand Slams i samma kalenderår (amatör)?,Don Budge | Rod Laver | Maureen Connolly | Margaret Court,0,Don Budge
choice,hard,Vilken organisation kontrollerade tennis innan öppna eran?,ILTF | Professional Tennis Association | World Tennis Federation | Amateur Tennis Association,0,ILTF
choice,hard,Vem var den första spelaren att tjäna miljoner på tennis i öppna eran?,Rod Laver | Ken Rosewall | Pancho Gonzales | Tony Trabert,0,Rod Laver
choice,hard,Vilken teknisk innovation introducerades först 1877 på Wimbledon?,Net posts | Baseline markers | Service lines | Centre mark,3,Centre mark
choice,hard,Vem var den första kvinnliga spelaren som blev professionell 1959?,Karol Fageros | Althea Gibson | Maureen Connolly | Angela Mortimer,1,Althea Gibson
choice,hard,Vilken exakt höjd hade det ursprungliga tennsnätet 1874?,"0,99 meter | 1,07 meter | 1,22 meter | 1,52 meter",1,"1,07 meter"
choice,hard,Vem vann flest Grand Slam-titlar på herrsidan under 1960-talet?,Rod Laver | Ken Rosewall | Pancho Gonzales | Victor Seixas,0,Rod Laver
choice,hard,Vilken organisation skapade det första officiella rankingsystemet 1973?,ATP | Computer Ranking System | ILTF | WCT,0,ATP
choice,hard,Vem var den första spelaren att vinna över 100 professionella titlar?,Jimmy Connors | Ivan Lendl | Ilie Năstase | Rod Laver,0,Jimmy Connors
choice,hard,Vilken stad arrangerade den första 'tie-break' matchen 1965?,Newport | Forest Hills | Wimbledon | Roland Garros,1,Forest Hills
choice,hard,Vem var den första spelaren att använda en dubbelsträngad racket?,Werner Fischer | Ilie Năstase | Stan Smith | Arthur Ashe,1,Ilie Năstase
choice,hard,Vilken organisation ersatte World Championship Tennis (WCT) 1990?,ATP Tour | Grand Prix Tennis | Professional Tennis Council | Men's International Tennis,0,ATP Tour
choice,hard,Vem var den första spelaren att vinna över 50 miljoner dollar i karriären?,Pete Sampras | Andre Agassi | Stefan Edberg | Boris Becker,0,Pete Sampras
choice,hard,Vilken exakt längd hade den ursprungliga tennisbanan 1877 i fot?,"78 fot | 78,5 fot | 23,77 meter | 23,76 meter",0,78 fot
choice,hard,Vem introducerade det första polyester-strängningssystemet?,Luxilon | Babolat | Prince | Tecnifibre,0,Luxilon
choice,hard,Vilken organisation skapade det första anti-doping-programmet i tennis?,ITF | ATP | WTA | IOC,0,ITF
choice,hard,Vem var den första spelaren att vinna over 1000 matcher i öppna eran?,Jimmy Connors | Ivan Lendl | John McEnroe | Guillermo Vilas,0,Jimmy Connors
choice,hard,Vilken stad arrangerade den första Night Session på Grand Slam 1975?,New York | Melbourne | Paris | London,0,New York
choice,hard,Vem var den första spelaren att använda en widebody-racket?,Michael Chang | Andre Agassi | Jim Courier | Pete Sampras,1,Andre Agassi
choice,hard,Vilken organisation introducerade det första elektroniska rankingsystemet?,ATP | WTA | ITF | Computer Tennis Ranking,2,ITF
choice,hard,Vem var den första kvinnliga spelaren att tjäna över 10 miljoner dollar?,Steffi Graf | Martina Navratilova | Chris Evert | Monica Seles,0,Steffi Graf
choice,hard,Vilken tennisspelare har rekordet för flest antal veckor som världs-ett i ATP-rankingen (samtida och historiskt) fram till 2021?,Pete Sampras | Rafael Nadal | Roger Federer | Novak Djokovic,3,Novak Djokovic
choice,hard,"Vilken spelare slutade som nummer ett i världen flest antal gånger i rad på ATP-rankningen mellan 1973 och 2019, och hur många år i rad var det?","Pete Sampras, 6 år | Rafael Nadal, 3 år | Roger Federer, 5 år | Jimmy Connors, 4 år",0,"Pete Sampras, 6 år"
choice,hard,"Vem var den första spelaren att vinna alla fyra Grand Slam-turneringar som en Golden Grand Slam, inklusive ett olympiskt guld i samma kalenderår?",Roger Federer | Serena Williams | Steffi Graf | Andre Agassi,2,Steffi Graf
choice,hard,"Vilken spelare vann singeltiteln i Wimbledon i herrklassen, men aldrig lyckades vinna en singeltitel i Grand Slam på någon annan yta?",Boris Becker | Pete Sampras | Björn Borg | John McEnroe,0,Boris Becker
choice,hard,Vem var den första spelaren som gick obesegrad under ett kalenderår i öppna eran?,Rod Laver | Björn Borg | John McEnroe | Jimmy Connors,0,Rod Laver
choice,hard,"Vilken tennisspelare vann herrsingelklassen i Wimbledon 1969, men var inte seedad i turneringen?",Rod Laver | John Newcombe | Stan Smith | Billie Jean King,1,John Newcombe
choice,hard,Vilken spelare är den enda att ha vunnit Golden Slam i tennis i både singel och dubbel?,Serena Williams | Steffi Graf | Roger Federer | Rod Laver,1,Steffi Graf
choice,hard,"Vem vann det första öppna Wimbledonmästerskapet för herrar, år 1968?",Arthur Ashe | Rod Laver | John Newcombe | Roy Emerson,1,Rod Laver
choice,hard,Vilken spelare har flest antal vinster i singelherrar i en Grand Slam-turnering utan att någonsin ha vunnit finalen?,Miloslav Mecir | Henri Leconte | Tim Henman | Todd Martin,2,Tim Henman
choice,hard,Vem blev den äldsta Grand Slam-vinnaren i det öppna eran efter att ha vunnit Wimbledon 1980 vid en ålder av 32 år?,Rod Laver | Björn Borg | John McEnroe | Jimmy Connors,2,John McEnroe
choice,hard,"Vem är den enda tennisspelaren att ha vunnit alla Grand Slam-turneringar, Davis Cup, och en olympisk guldmedalj under samma kalenderår?",Roger Federer | Rod Laver | Andre Agassi | Steffi Graf,3,Steffi Graf
choice,hard,"Vem är den enda spelaren som har vunnit alla fyra Grand Slam-titlar på tre olika underlag (gräs, hardcourt och grus) under samma kalenderår?",Roger Federer | Andre Agassi | Rafael Nadal | Rod Laver,3,Rod Laver
choice,hard,Vilken svensk tennisspelare var den första att bli rankad världsetta på herrarnas ATP-rankning?,Stefan Edberg | Björn Borg | Mats Wilander | Robin Söderling,1,Björn Borg
choice,hard,"Vem är den enda spelaren i tennishistorien som har vunnit alla fyra Grand Slam-turneringar på tre olika underlag, inomhus, gräs och grus, under ett och samma kalenderår?",Rod Laver | Andre Agassi | Roger Federer | Rafael Nadal,0,Rod Laver
choice,hard,"Vem är den enda spelaren att ha vunnit Golden Slam i singel och dubbel, både på herr- och damsidan?",Martina Navratilova | Serena Williams | Steffi Graf | Andre Agassi,2,Steffi Graf
choice,hard,Vem är den enda spelaren som lyckats vinna Golden Slam i både singel och dubbel?,Serena Williams | Steffi Graf | Martina Navratilova | Andre Agassi,1,Steffi Graf
choice,hard,"Vem var den första spelaren att vinna Grand Slam singeltitlar på alla fyra ytor (gräs, lera, hardcourt, inomhus) i en och samma säsong?",Björn Borg | Roger Federer | Mats Wilander | Andre Agassi,2,Mats Wilander
choice,hard,Vilken tennisspelare var den första att vinna fyra Grand Slam-titlar under samma kalenderår i öppna eran?,Billie Jean King | Steffi Graf | Martina Navratilova | Serena Williams,1,Steffi Graf
choice,hard,"Vem var den första manliga spelaren att vinna alla fyra Grand Slam-turneringarna på tre olika ytor (gräs, hårt och grus)?",Bjorn Borg | Andre Agassi | Roger Federer | Rafael Nadal,1,Andre Agassi
choice,hard,Vem är den enda spelaren som har slagit både Rafael Nadal och Roger Federer i samma Grand Slam-turnering?,Novak Djokovic | Stan Wawrinka | Andy Murray | Juan Martin Del Potro,1,Stan Wawrinka
choice,hard,Vilken spelare har vunnit flest Grand Slam-titlar i singel under öppna eran utan att någonsin ha vunnit en Grand Slam-titel i dubbel eller mixed dubbel?,Roger Federer | Pete Sampras | Andre Agassi | Rafael Nadal,1,Pete Sampras
choice,hard,Vilken manlig tennisspelare har vunnit flest antal Grand Slam-matcher i öppna eran?,Roger Federer | Rafael Nadal | Novak Djokovic | Andre Agassi,0,Roger Federer
choice,hard,Vilken tennisspelare har rekordet för att ha vunnit flest singelmatcher i rad på gräsunderlag?,Roger Federer | Rafael Nadal | Björn Borg | Pete Sampras,2,Björn Borg
choice,hard,Vem var den första asiatiska spelaren som någonsin rankades som nummer ett i singel av ATP eller WTA?,Kei Nishikori | Naomi Osaka | Li Na | Kimiko Date,1,Naomi Osaka
choice,hard,Vilken spelare har rekordet för flest vunna Grand Slam-titlar i herrdubbel under Open Era?,John McEnroe | Bob Bryan | Mike Bryan | Todd Woodbridge,2,Mike Bryan
choice,hard,Vilken spelare avslutade året som världsetta på ATP-rankningen utan att under året ha vunnit en Grand Slam-titel?,Jimmy Connors | Ivan Lendl | John McEnroe | Andy Roddick,3,Andy Roddick
choice,hard,Vilken tennisspelare har rekordet för flest segrar i en säsong på ATP-touren?,Björn Borg | Jimmy Connors | Guillermo Vilas | Rod Laver,1,Jimmy Connors
choice,hard,Vem var den första tennisspelaren att vinna Grand Slam-turneringarna i både singel och dubbel under samma kalenderår?,Rod Laver | Roy Emerson | Lew Hoad | Frank Sedgman,3,Frank Sedgman
choice,hard,Vem är den enda spelaren i modern tid som har vunnit Grand Slam i både singel- och dubbelklasser samt Davis Cup under samma år?,Rod Laver | Roger Federer | John McEnroe | Stefan Edberg,2,John McEnroe
choice,hard,"Vem är den enda manliga spelaren i tennisens historia som har vunnit alla fyra Grand Slam-turneringar, ATP Tour Finals, Davis Cup och olympiska guldmedaljen under sin karriär?",Roger Federer | Rafael Nadal | Andre Agassi | Novak Djokovic,2,Andre Agassi
choice,hard,Vem var den första spelaren att vinna Grand Slam i öppen era samtidigt som han/hon var obesegrad i singeltävlingar under ett helt kalenderår?,Rod Laver | Martina Navratilova | Steffi Graf | Serena Williams,2,Steffi Graf
choice,hard,"Vilken spelare vann Wimbledon herrsingel på öppningsturneringen på centrecourten år 1922, trots att han var rankad som nummer 6?",Bill Tilden | Suzanne Lenglen | Gerald Patterson | Jean Borotra,2,Gerald Patterson
choice,hard,"Vilken spelare vann herrsingeln i Wimbledon utan att förlora ett enda set under hela turneringen, och vilket år skedde detta?","Bjorn Borg, 1976 | Roger Federer, 2007 | Pete Sampras, 1999 | John McEnroe, 1984",0,"Bjorn Borg, 1976"
